numID,ID
0,w_0e737d0
1,w_1287fbc
2,w_17ee910
3,w_18eee6e
4,w_1eafe46
5,w_2071a4c
6,w_2d99a0c
7,w_43be268
8,w_44cccf6
9,w_49bbc79
10,w_4b7b80b
11,w_4e52a49
12,w_540fd73
13,w_6202983
14,w_67de30b
15,w_693c9ee
16,w_6c803bf
17,w_73d5489
18,w_7554f44
19,w_7b035cc
20,w_7c7a78c
21,w_7e8b270
22,w_89e159a
23,w_8c1e2e4
24,w_8c1ec28
25,w_95874a5
26,w_987a36f
27,w_98baff9
28,w_9b401eb
29,w_9ca943b
30,w_9ea2cc3
31,w_a59905f
32,w_ab4cae2
33,w_b074cdf
34,w_b0e05b1
35,w_b678944
36,w_b7d5069
37,w_b9e00eb
38,w_bb2d34d
39,w_c0d494d
40,w_c9e1cdc
41,w_cae7677
42,w_dbda0d6
43,w_eb0a6ed
44,w_ee17a08
45,w_f19faeb
46,w_f8e6546
47,w_fba3bde
48,w_fd1cb9d
49,w_fe49bc4
